4 3.2604117409925895	25 3.188386131035603	27 3.188386131035603	29 3.188386131035603	33 3.188386131035603	41 3.188386131035603	57 3.188386131035603	26 3.169812691920138	21 3.1680070170221017	5 3.133859543686202	15 3.1234682666558933	6 3.0931888925915816	16 3.0247686702493732	35 2.9729428704021106	24 2.8919815092627634	38 2.8517792510052637	42 2.8517792510052637	0 2.6165124468329153	23 2.4299410581578207	7 2.1272615406496476	
25 7.3289357661896855	27 7.3289357661896855	41 7.3289357661896855	57 7.3289357661896855	15 7.295683673334952	16 7.212109638588991	4 7.19582246468344	35 7.026269066779513	42 6.9218635490283456	32 6.669722966193216	38 6.5551994303718555	24 6.243776855748903	34 5.632198566126402	23 5.376597351624804	22 5.241865701047165	0 4.635225969246133	39 4.635225969246133	7 4.564696370816424	3 4.310525847473567	18 2.196116135138184	
4 3.35380253741696	25 3.343379303961318	29 3.343379303961318	33 3.343379303961318	41 3.343379303961318	57 3.343379303961318	26 3.320863592183138	36 3.2784531369694276	15 3.2542064524067085	6 3.2435543568791925	5 3.214739266805514	16 3.171808104715854	35 3.106383569340874	38 2.990409359289375	42 2.990409359289375	34 2.9690290785214577	32 2.902866152185262	39 2.714538736477236	23 2.364126177909807	7 1.9303009411450907	
36 3.8698078563822307	15 3.6140776588864854	5 3.6042491177194314	25 3.5464451547095313	27 3.5464451547095313	29 3.5464451547095313	33 3.5464451547095313	57 3.5464451547095313	6 3.440557169018203	4 3.3881640976537835	22 3.3748728708808855	16 3.3644532857251033	32 3.2780286499053983	21 3.2565524032349593	35 3.240590466510744	42 3.172036977762108	24 2.972812018249079	34 2.6413460389574963	0 2.2429688571500686	39 2.2429688571500686	
36 1.7428353279014024	15 1.6975014348643542	16 1.6789800413907352	6 1.6702825421593368	42 1.6690238602413991	35 1.6537874384997786	4 1.6232228590218352	22 1.599839676247035	32 1.5843580161638924	25 1.5773502691896257	27 1.5773502691896257	33 1.5773502691896257	41 1.5773502691896257	57 1.5773502691896257	5 1.516660057643524	26 1.490455908113049	21 1.4108249704942382	38 1.4108249704942382	3 1.34024198072123	24 1.2879011017187578	
36 8.656705508736547	25 8.44925662429478	29 8.44925662429478	33 8.44925662429478	57 8.44925662429478	15 8.31756108370782	26 8.246486655051047	35 8.003613960849442	42 7.8071314536520475	32 7.778310796009675	38 7.5572448685054106	24 7.466263510412435	23 6.168783827495648	31 5.670198877547964	0 5.343779093607414	39 5.343779093607414	3 4.766663331870817	2 1.8944271909999157	18 1.8944271909999157	46 1.8944271909999157	
25 8.310079413993757	33 8.310079413993757	41 8.310079413993757	57 8.310079413993757	5 8.252747460193065	15 8.202217025558177	6 8.061961219098155	26 8.053901488759319	16 7.8836335455292765	21 7.8543980086004455	35 7.650106201795551	42 7.432760987244662	24 7.170051608223534	39 5.855755697019518	31 5.482077145689579	3 5.007161563193327	22 3.891792097483737	0 1.0	4 1.0	7 1.0	
4 6.822401178296201	15 6.780123260098503	25 6.6752449717584295	29 6.6752449717584295	33 6.6752449717584295	41 6.6752449717584295	32 6.635829983049836	26 6.590986974652343	6 6.552635344869017	21 6.417734204826164	35 6.2682638139292095	42 6.111941965563515	38 5.970520609326206	24 5.858562986759617	34 5.4272177667983375	31 4.754762179979565	0 4.221795610068598	39 4.221795610068598	22 3.1606719085245087	3 1.0	
36 4.07208607197352	4 4.035766897301074	6 3.8931271884145366	16 3.8826226223723808	32 3.8203414216341844	26 3.80839568184096	42 3.80314330197453	25 3.773843830204491	27 3.773843830204491	29 3.773843830204491	33 3.773843830204491	41 3.773843830204491	57 3.773843830204491	21 3.7255594775200445	15 3.70022675908979	5 3.6286412173981866	24 3.4009549419414826	38 3.3754285363221666	39 2.9867884074439863	7 2.897063264041255	
36 3.313268592489968	5 3.2508304973325934	4 3.2385728237390157	32 3.2219019956594828	15 3.1877572966354606	25 3.178884241376089	27 3.178884241376089	29 3.178884241376089	33 3.178884241376089	41 3.178884241376089	26 3.088278693095478	6 3.0839707056011956	16 3.0157543862294736	35 2.925790284162264	38 2.8432805025279135	42 2.8432805025279135	24 2.778122300083661	34 2.564038369700924	22 2.3160674422638725	31 2.168663005814478	
6 5.8944610368979555	16 5.878489965931304	35 5.850114340864163	15 5.744007867757186	4 5.7378724564265	27 5.714067966429527	29 5.714067966429527	33 5.714067966429527	41 5.714067966429527	57 5.714067966429527	26 5.63350937666029	21 5.6096197122480564	5 5.562363112538888	38 5.110817760396163	31 4.349402299734522	23 4.21586781108455	0 3.613893895784771	39 3.613893895784771	7 3.585464628201678	3 3.333787486354451	
15 2.2445256061428536	4 2.219507653021779	25 2.2098058012233017	27 2.2098058012233017	29 2.2098058012233017	33 2.2098058012233017	57 2.2098058012233017	32 2.205094681954751	36 2.1668928657092605	6 2.143826524834432	5 2.124781197511821	16 2.0964058555556795	26 2.088070212780246	35 2.010299345516035	39 1.9976039037037863	21 1.976510395443476	38 1.976510395443476	42 1.976510395443476	24 1.80429888121308	31 1.6091653075264032	
36 4.67056255337923	25 4.563057919827287	27 4.563057919827287	41 4.563057919827287	57 4.563057919827287	4 4.468758930742475	26 4.445315075901465	15 4.441354442738181	6 4.426816418649201	21 4.397550843617877	16 4.328896836577267	35 4.204699964851833	42 4.08132307760104	32 4.02999367037634	24 4.014396324708974	23 3.4208263705283084	22 2.9350887298004356	0 2.8859312243848447	39 2.8859312243848447	7 2.634482718340138	
32 4.354400540552394	4 4.288749206149508	6 4.245438496347507	16 4.230587869983497	36 4.221383408712165	35 4.166536234271544	5 4.161599052936771	42 4.13770769352783	15 4.136744213615549	25 4.126097836876047	27 4.126097836876047	29 4.126097836876047	41 4.126097836876047	57 4.126097836876047	26 4.077802529973577	38 3.6904940980278713	31 3.6777874788058282	24 3.5515189622176346	34 3.2338195263110356	0 2.6095734026444393	
36 6.379734978880895	16 6.370249760274141	6 6.366700133336569	25 6.106078629772826	27 6.106078629772826	29 6.106078629772826	33 6.106078629772826	57 6.106078629772826	5 6.065398001175889	21 6.001498378862	15 5.943220517147563	32 5.606924760837587	24 5.478593401555672	38 5.461442756852325	31 4.715822117783309	22 4.519575760425994	0 3.861823208432431	39 3.861823208432431	7 3.661428904080317	3 3.304665273402397	
4 5.250758319007499	25 5.118041130882551	29 5.118041130882551	33 5.118041130882551	41 5.118041130882551	57 5.118041130882551	6 5.10525722696384	16 5.037974325438895	26 5.021201759184753	36 5.018652230334732	15 5.0016565248594125	35 4.958474912836438	42 4.835914041864473	38 4.577715152117311	34 4.223904490650368	23 3.988670366371576	7 3.574681707587724	3 3.2540075813740468	0 3.236933426402559	39 3.236933426402559	
36 4.891157661072494	6 4.830225043004409	25 4.788021671573498	27 4.788021671573498	41 4.788021671573498	57 4.788021671573498	15 4.660318079805252	35 4.659456241852991	5 4.603797499041162	4 4.558733663569097	21 4.367052199625056	38 4.282536774152205	32 4.180607342233904	24 3.986554999228663	34 3.519273213393981	23 3.385642592437769	31 3.2051386765509373	22 3.035695578076018	0 3.0282107936837863	39 3.0282107936837863	
4 3.5203723826637026	36 3.5025756074983545	21 3.4970718382580612	26 3.4129333762190512	25 3.3719402740936424	27 3.3719402740936424	29 3.3719402740936424	33 3.3719402740936424	41 3.3719402740936424	57 3.3719402740936424	6 3.363195459269057	16 3.3187692454278555	15 3.3021267503037803	24 3.1923752183833303	42 3.1854709434822652	34 3.1450342414960772	38 3.015955067577063	23 2.7539906099004985	39 2.732602280037673	22 2.4024047247884472	
22 2.21311845071176	2 2.0	47 2.0	34 1.3779271744364845	36 1.3224927796954318	21 1.2957417329238148	24 1.1828449597053465	4 1.1301294513954319	26 1.0854036935054088	35 1.0587095724029276	16 1.0	18 1.0	20 1.0	30 1.0	37 1.0	46 1.0	56 1.0	6 0.9970544855015815	42 0.9899494936611664	25 0.9486832980505138	
36 4.322001646036615	4 3.9993947536022354	21 3.9056179455202082	25 3.8287087079841835	27 3.8287087079841835	29 3.8287087079841835	33 3.8287087079841835	41 3.8287087079841835	26 3.8210986156788476	15 3.8202499873876894	6 3.8063259297110945	16 3.7520978297365026	5 3.681395111267748	32 3.629502126440821	42 3.5940170507444127	24 3.5653250829306695	34 3.4680182985320385	2 2.8944271909999157	47 2.8944271909999157	31 2.7626833913028706	
22 2.893848147469423	36 2.8150913784998086	25 2.4708411743034673	27 2.4708411743034673	29 2.4708411743034673	33 2.4708411743034673	41 2.4708411743034673	57 2.4708411743034673	5 2.4439228842793552	15 2.425061291018102	16 2.4207422530819542	4 2.4172372013772545	35 2.3585068216250873	26 2.3581658173846995	42 2.3184527598485114	21 2.209987530939183	38 2.209987530939183	39 2.1626971694648116	24 2.0174333708342287	2 2.0	
36 5.954027296725655	25 5.871940274093642	27 5.871940274093642	29 5.871940274093642	33 5.871940274093642	4 5.798827566487023	6 5.788551709632387	15 5.762484970787012	16 5.69047749055414	26 5.680720214274414	42 5.421538920982055	21 5.285926220257893	38 5.252023045076853	24 4.825368380238783	23 4.521757562866867	39 4.313741110121863	31 4.208744994351154	34 4.205694413275898	7 4.061512426988893	22 3.520438713538342	
42 1.0796691275336339	35 1.0759221694340184	1 1.0	8 1.0	9 1.0	10 1.0	14 1.0	28 1.0	34 1.0	37 1.0	52 1.0	55 1.0	59 1.0	16 0.9870481592667748	31 0.9855985596534889	21 0.9486832980505138	6 0.9285299656063682	24 0.8660254037844387	15 0.8504686227424477	4 0.8333333333333334	
4 4.434013045010542	21 4.372296811307122	26 4.314371817288993	6 4.301856611347856	36 4.299113081470696	35 4.292296226969965	16 4.285758036634588	42 4.189722625472067	25 4.1842522987122175	29 4.1842522987122175	33 4.1842522987122175	41 4.1842522987122175	57 4.1842522987122175	5 4.02325878818296	32 3.9631562906630466	34 3.9544950903961684	31 3.3780296396681853	23 2.9587131746148083	7 2.8943379516367287	22 2.7656817059859704	
36 5.544132439998326	27 5.453927899498849	29 5.453927899498849	41 5.453927899498849	57 5.453927899498849	16 5.433320991746071	4 5.322638839590878	15 5.308463607608508	35 5.286638137078421	42 5.244805529721316	32 5.0417602445094865	21 4.962656836537678	38 4.878141411064827	24 4.530265157548191	23 4.050766574309592	34 3.990140022794351	7 3.4821600742498044	0 3.4493668713508527	39 3.4493668713508527	22 3.333497896532329	
6 6.006245628964921	16 5.95244658409211	25 5.941096285406687	27 5.941096285406687	29 5.941096285406687	5 5.906763526129921	35 5.83737481334818	36 5.825724209888905	15 5.782638494960203	4 5.767985961457702	42 5.761091657516295	26 5.747438937483251	21 5.630105828033175	32 5.333727710366861	24 5.139559938591787	0 4.3574792120501815	31 4.007443808850662	7 3.430093539661036	3 2.9705481427033433	22 2.6569390310081684	
36 3.5976959826335704	4 3.5694681576439984	21 3.5034613903910596	25 3.4689444038845885	27 3.4689444038845885	29 3.4689444038845885	33 3.4689444038845885	41 3.4689444038845885	57 3.4689444038845885	6 3.4420668957344898	5 3.40362304173925	15 3.3965436370452218	35 3.362364215458019	42 3.2441395551386796	24 3.1982080547759946	38 3.1027181989013704	23 2.6283257154073243	22 2.445786290450601	31 2.4002046334334985	7 2.2892419350023863	
25 4.475709128450966	27 4.475709128450966	29 4.475709128450966	33 4.475709128450966	41 4.475709128450966	57 4.475709128450966	4 4.430949240780351	6 4.418772142683441	21 4.4039391349827675	15 4.356335372311453	5 4.30350150968024	35 4.259429759178065	42 4.144617299730388	24 4.020228010183085	32 3.9094441184683157	23 3.1648042753462104	0 2.8306869980624345	39 2.8306869980624345	31 2.7666260559606854	7 2.58405187012563	
36 5.2602797555235545	25 4.964453824074337	27 4.964453824074337	29 4.964453824074337	33 4.964453824074337	41 4.964453824074337	6 4.9081605361626455	16 4.829560252213673	4 4.794625538966169	26 4.782446314844826	5 4.773441238804537	21 4.656819849731695	42 4.609858364620802	38 4.4403424887156	32 4.34928017598631	22 4.009025626357631	34 3.852679725227154	23 3.510398963890451	31 3.0850728064749897	7 2.959887332866955	
36 3.6703321591014135	6 3.443602989351656	16 3.4327535290138154	15 3.347514397962439	25 3.343019060125049	27 3.343019060125049	29 3.343019060125049	33 3.343019060125049	41 3.343019060125049	57 3.343019060125049	4 3.305779901802319	22 3.2838979557032446	32 3.2759553448558822	26 3.1731827996764466	21 3.0239903225878666	38 2.9900871474068262	24 2.760512855597831	31 2.7404692321159456	23 2.5581286195217534	34 2.4174770737921905	
6 7.389247162560071	16 7.370178418126143	27 7.1600959819353385	33 7.1600959819353385	41 7.1600959819353385	36 7.021051755977998	15 6.996162577255074	4 6.925606612875014	26 6.874472585898027	32 6.613747092036456	21 6.4380877115932496	24 5.877143111394063	31 5.573176735756668	23 5.257209595244483	34 5.11655804951492	0 4.5284423136670995	39 4.5284423136670995	7 4.518783522053677	22 3.202092268206105	1 1.0	
42 3.488675940377646	16 3.443904577068623	15 3.2631400132245085	25 3.0896659536633178	27 3.0896659536633178	29 3.0896659536633178	33 3.0896659536633178	41 3.0896659536633178	57 3.0896659536633178	4 3.0669163023172956	31 3.0533751357455023	36 3.029666728502407	32 2.987833323264957	5 2.970787804657802	26 2.933786616253799	21 2.7973844152441973	38 2.763481240063157	39 2.5540763245304676	24 2.55365091040441	34 2.2383293741784227	
21 5.480106380700909	4 5.3296268602979735	36 5.27444606988101	6 5.266807285277764	35 5.2341285334771195	16 5.229364349792454	27 5.178900686743208	29 5.178900686743208	41 5.178900686743208	57 5.178900686743208	42 5.07936318921122	15 5.040771775791391	24 5.002629803729803	5 4.979637032757099	32 4.519985366555367	0 3.8754243891837437	23 3.6620357946877897	31 3.5673899747871545	22 3.2105019878555465	7 2.9900397055975287	
36 7.714231433489992	27 7.667003322347262	33 7.667003322347262	6 7.546551000673867	15 7.4826341395073435	16 7.414979354245957	26 7.312621077593104	35 7.180998778619374	21 6.962985500333029	38 6.857576244994083	24 6.356307043522994	23 5.791058816944396	34 5.588056707278206	31 5.035662547481893	7 4.849075145138674	0 4.849038665339098	39 4.849038665339098	22 4.3232153134969575	3 4.300723337910329	1 1.0	
4 7.325745059730964	6 7.242505390388912	16 7.191327181954528	26 7.1878408700720104	25 7.120641424222326	27 7.120641424222326	42 6.985624778589975	36 6.982363379116685	15 6.957760330721332	5 6.846667251953025	32 6.511341018506981	34 6.400669146005532	38 6.368895307184815	31 5.292198746493142	23 5.035053837465442	0 4.503489060377563	39 4.503489060377563	7 4.496004422537311	22 3.1844476535924073	3 1.0	
21 3.714053910957509	4 3.634710769713057	15 3.625273112857546	25 3.5579473902476644	27 3.5579473902476644	29 3.5579473902476644	33 3.5579473902476644	57 3.5579473902476644	6 3.4517159765604277	5 3.4210516201692984	24 3.390451844702853	16 3.375365264470372	34 3.356586128891862	35 3.3268640575785247	38 3.182324889984699	42 3.182324889984699	32 3.1126037831690763	39 2.8502435096469148	22 2.6610012398536713	23 2.5158487267491028	
25 8.618054013340494	33 8.618054013340494	41 8.618054013340494	6 8.577464974177197	15 8.415234720076393	32 8.338754924387615	26 8.282330267364284	35 8.19657428674974	42 8.10784208902216	21 7.813631098376635	38 7.708221843037689	24 7.132836681007919	34 6.260551100131671	7 5.829952080773907	0 5.450535936102217	39 5.450535936102217	22 4.923949716380167	2 1.1961161351381842	18 1.1961161351381842	46 1.1961161351381842	
36 2.91691203020361	25 2.7746782722883507	27 2.7746782722883507	29 2.7746782722883507	33 2.7746782722883507	41 2.7746782722883507	57 2.7746782722883507	4 2.7482411048441957	15 2.720794605982229	6 2.69183331617675	16 2.6322909343836134	21 2.5662631184842204	35 2.5573066080413414	38 2.4817476930113687	42 2.4817476930113687	24 2.3426669974789345	23 2.3316625982789247	22 2.1353010375056	34 2.0956244429022783	7 1.888407197036058	
16 4.108675839965349	6 4.090124520883496	42 4.0792732213174965	36 3.992180838965743	27 3.8712415999355074	29 3.8712415999355074	33 3.8712415999355074	57 3.8712415999355074	15 3.7679898832923895	26 3.672306184404085	4 3.6677101248151063	21 3.4964469250933763	38 3.462543749912336	32 3.4481349929461036	24 3.191804753322031	31 3.031256703776673	23 2.931638359397309	34 2.7909868136677463	22 2.6256990659560837	0 2.44838816571811	
6 5.837947126867523	36 5.764193310588637	25 5.699461395962508	27 5.699461395962508	41 5.699461395962508	57 5.699461395962508	42 5.666889368492878	4 5.62368008686157	15 5.547448363997747	5 5.480168620872347	26 5.476963188761086	21 5.3142306076193	32 5.182158830984956	38 5.0977532466032045	34 4.372408563532738	23 4.030127802196036	7 3.6239189045281677	0 3.6046558894888645	39 3.6046558894888645	3 3.234630877441004	
36 6.9544769127922645	25 6.913317258831669	27 6.913317258831669	29 6.913317258831669	5 6.841577274476713	16 6.776666472700012	15 6.728928902733007	35 6.550615513596984	26 6.5324707861997675	4 6.517938018951823	21 6.183458936308048	32 6.177851903172668	24 5.644699904704697	34 4.888453514213868	31 4.389632478529712	0 4.372365745051976	39 4.372365745051976	7 3.9914055803797504	3 3.4566586294158346	6 1.0	
36 4.128798436780033	25 3.8105647593665544	27 3.8105647593665544	33 3.8105647593665544	41 3.8105647593665544	57 3.8105647593665544	6 3.6967908226175643	5 3.663949270167133	26 3.645188793172519	16 3.615019143350926	21 3.5136819891824436	22 3.4929907489215806	35 3.4844065690550967	32 3.4163236127864924	42 3.4082727338434973	24 3.207538142291413	34 2.861142848165242	23 2.694476181498575	7 2.4297719342309057	0 2.4100127622339502	
36 4.9016876351397425	25 4.798760180222803	29 4.798760180222803	41 4.798760180222803	57 4.798760180222803	15 4.670770176608744	6 4.6554811988392135	26 4.5789456968576765	16 4.5525036343272465	21 4.397550843617877	35 4.383385387324799	32 4.322346343478684	42 4.29214158827893	24 4.014396324708975	23 3.5874930371949754	34 3.5599025313901893	22 3.0404979851393814	0 3.0350024228848307	39 3.0350024228848307	7 2.9066482453160463	
6 7.020388268943941	4 6.983757707703588	25 6.901252683749142	27 6.901252683749142	29 6.901252683749142	33 6.901252683749142	41 6.901252683749142	35 6.896130124934341	26 6.794568496269364	5 6.635719724145301	32 6.226920867859681	24 6.225671696698387	38 6.172668052306376	34 5.903257118564264	22 5.050600012014426	0 4.964735437799397	23 4.879922571360879	7 4.4114320091996975	3 4.029230091522782	18 2.196116135138184	
21 4.1692462227009575	15 4.1195577173150495	4 4.114011142817312	26 4.066906726687454	25 4.065776546442634	27 4.065776546442634	29 4.065776546442634	41 4.065776546442634	57 4.065776546442634	6 4.0363155152172245	36 3.9868219131190137	16 3.9770001285869707	5 3.9093415151609934	42 3.806056971573226	38 3.6365410956680235	32 3.5488887017848656	0 3.171422868810417	23 2.874938166778808	31 2.566221238319726	7 2.3473771835535215	
36 4.046180125922579	25 3.9474248453181247	29 3.9474248453181247	33 3.9474248453181247	41 3.9474248453181247	57 3.9474248453181247	6 3.829564608572726	5 3.795543520285749	16 3.7448560210629376	26 3.7299658785104883	4 3.721667835131606	35 3.591042062892511	21 3.5306841160811673	42 3.5306841160811673	32 3.447445641913805	24 3.223058889671407	0 3.0965706807086253	23 2.7912508763487045	34 2.7912508763487045	7 2.3727053782084058	
36 3.6984330637266587	4 3.639484793725958	15 3.6386360200965977	26 3.593063085489921	41 3.5716764723317955	27 3.571676472331795	29 3.571676472331795	33 3.571676472331795	57 3.571676472331795	16 3.465086314225889	5 3.434252461372317	35 3.428658828507886	24 3.3875109482687815	42 3.3030697832175444	38 3.194604554308216	32 3.1010836029893625	23 2.5255566537902587	22 2.491729468154024	0 2.258926543560768	39 2.258926543560768	
